hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-6.11473,20.0632,0.581015,0.00234752,0.295583,0.16514,1.43449,0.56916,-6.70059,1.71806
-6.08431,20.0053,0.576268,-0.0098908,0.313644,0.148524,1.39714,0.552166,-4.6251,1.26091
-6.02909,19.9918,0.544865,0.00677495,0.306738,0.121289,1.37797,0.531416,-1.0281,0.210988
-5.99356,19.9584,0.519974,0.0283569,0.289305,0.108434,1.38413,0.520841,-3.3964,-0.974946
-5.92007,19.9428,0.527296,0.0298173,0.280489,0.134458,1.41343,0.532332,-2.94914,0.968974
-5.88183,19.9345,0.602798,-0.00572815,0.286581,0.21073,1.45444,0.57054,-4.55894,5.41603
-5.84891,20.0091,0.701902,-0.0431599,0.304677,0.289436,1.48087,0.614383,-15.4948,8.98696
-5.8474,19.9893,0.717674,-0.0642339,0.313634,0.290265,1.47207,0.620281,-12.1649,9.36025
-5.8386,19.9719,0.693882,-0.0634148,0.311886,0.261786,1.45781,0.612107,-9.85573,7.99021
-5.84271,19.9992,0.662893,-0.0388044,0.297818,0.233265,1.44981,0.597485,-13.0146,5.79209
-5.84207,19.9494,0.566697,0.00473392,0.264592,0.165685,1.43905,0.55487,-1.71024,2.6225
-5.84866,19.9033,0.500781,0.0476612,0.236318,0.126663,1.44606,0.53366,-2.64975,0.157221
-5.86616,19.9015,0.49169,0.0483834,0.235049,0.130522,1.45575,0.535941,-3.43427,0.163361
-5.89536,19.9061,0.51895,0.0263824,0.257447,0.148367,1.44685,0.544805,-1.34444,1.8065
-5.91486,19.9025,0.541736,0.0099461,0.277715,0.159215,1.42886,0.552193,-5.45124,2.46857
-5.92036,19.8949,0.55749,0.00596218,0.278928,0.166001,1.42166,0.560625,-4.87074,3.22053
-5.92375,19.9201,0.586562,0.00113545,0.270934,0.181398,1.43345,0.574199,-6.04605,3.78698
-5.91099,19.9765,0.614553,-0.00352092,0.262637,0.199005,1.45857,0.588938,-7.98439,4.04655
-5.87393,19.9689,0.6073,-0.00294951,0.25577,0.19932,1.47537,0.589772,-6.82735,4.11579
-5.8174,20.0157,0.577513,0.00311908,0.262684,0.18362,1.46592,0.575441,-7.06302,2.92268
-5.75462,20.033,0.539816,0.00768417,0.282836,0.159071,1.43829,0.556212,-4.6828,2.14154
-5.67164,20.0751,0.517813,0.00586221,0.306976,0.143011,1.41845,0.549844,-3.6233,1.94901
-5.60318,20.1039,0.524194,-0.0037687,0.321042,0.147466,1.42409,0.562454,-5.98284,1.86818
-5.53588,20.1452,0.554551,-0.0135165,0.311025,0.174121,1.45078,0.581467,-6.17935,3.46576
-5.43968,20.2505,0.580369,-0.011951,0.286249,0.205033,1.4854,0.597414,-8.95143,4.85142
-5.32414,20.3118,0.570601,0.00139142,0.269125,0.205588,1.50681,0.601209,-8.75035,4.76071
-5.20454,20.3373,0.549279,0.0108491,0.279259,0.188698,1.49918,0.594638,-6.78769,4.328
-5.08823,20.4067,0.556429,0.00183028,0.308267,0.188502,1.47067,0.587105,-7.9367,4.33444
-4.95745,20.4814,0.561662,-0.0103221,0.32669,0.191024,1.44516,0.579041,-6.97593,4.56096
-4.8448,20.5515,0.540557,-0.00160429,0.315612,0.17603,1.4378,0.570611,-7.38207,3.47542
-4.69103,20.6509,0.515111,0.020049,0.291936,0.157257,1.44956,0.566047,-4.61729,1.91274
-4.5648,20.6668,0.530049,0.0309165,0.27706,0.163417,1.47129,0.571706,-5.04561,2.07969
-4.41568,20.7487,0.561387,0.0301171,0.276883,0.183096,1.48496,0.578964,-6.15189,2.74493
-4.28765,20.76,0.568728,0.0221802,0.27747,0.191007,1.4783,0.576981,-4.14774,3.25544
-4.1632,20.8495,0.570774,0.0127518,0.287639,0.195455,1.45451,0.570946,-7.11772,3.79763
-4.06036,20.8497,0.569516,-0.00912087,0.310982,0.194588,1.42456,0.562278,-6.45219,3.75189
-3.95075,20.8793,0.588474,-0.0245285,0.329815,0.210316,1.41211,0.563724,-7.19364,4.86894
-3.83402,20.9129,0.595689,-0.022657,0.317127,0.221117,1.42577,0.56877,-9.65591,5.19357
-3.74337,20.9373,0.566479,0.00684479,0.282865,0.197667,1.45318,0.568753,-6.87178,3.48172
-3.63033,20.9234,0.50708,0.0391612,0.26543,0.151625,1.47165,0.561413,-2.5747,1.12153
-3.5405,20.945,0.480271,0.0521299,0.283545,0.123482,1.46614,0.555275,-2.6908,-0.282311
-3.45895,20.9373,0.489066,0.0362328,0.319349,0.126826,1.44386,0.554014,-2.15254,0.249209
-3.35381,20.9912,0.537116,0.00216582,0.355575,0.17159,1.43085,0.569361,-5.03391,3.15204
-3.2583,20.9577,0.580999,-0.0265589,0.374063,0.219191,1.44342,0.595175,-10.9899,5.61835
-3.16717,20.9751,0.567357,-0.0241101,0.364402,0.222756,1.47181,0.608701,-10.2036,6.26831
-3.08542,20.966,0.522445,-0.00324571,0.344949,0.192675,1.49744,0.604972,-7.63092,4.28546
-3.00386,20.9583,0.493765,0.0163462,0.343083,0.160934,1.49799,0.589639,-7.51001,2.58342
-2.94244,20.9067,0.464853,0.0222283,0.351615,0.129463,1.46962,0.565619,-3.67854,1.60646
-2.83886,20.9486,0.45984,0.00736589,0.368672,0.131335,1.43589,0.556044,-4.13764,1.79337
-2.73458,20.9587,0.517979,-0.0246356,0.382775,0.187448,1.42326,0.573391,-10.0611,5.30814
-2.67704,20.9498,0.585696,-0.0557653,0.383328,0.248735,1.43715,0.597691,-12.2093,8.29363
-2.58658,20.9625,0.608754,-0.0603951,0.378138,0.264384,1.46846,0.613246,-13.6781,8.5026
